danbooru_tag,base_tag,is_variant,franchise,post_count
tarnished_(elden_ring),tarnished_(elden_ring),0,Elden Ring,1509
melina_(elden_ring),melina_(elden_ring),0,Elden Ring,983
miquella_(elden_ring),miquella_(elden_ring),0,Elden Ring,814
recluse_(elden_ring),recluse_(elden_ring),0,Elden Ring,539
revenant_(elden_ring),revenant_(elden_ring),0,Elden Ring,413
bloody_wolf_(elden_ring),bloody_wolf_(elden_ring),0,Elden Ring,321
duchess_(elden_ring),duchess_(elden_ring),0,Elden Ring,259
wylder_(elden_ring),wylder_(elden_ring),0,Elden Ring,257
rya_(elden_ring),rya_(elden_ring),0,Elden Ring,206
torrent_(elden_ring),torrent_(elden_ring),0,Elden Ring,166
millicent_(elden_ring),millicent_(elden_ring),0,Elden Ring,160
guardian_(elden_ring),guardian_(elden_ring),0,Elden Ring,150
prisoner_(elden_ring),prisoner_(elden_ring),0,Elden Ring,127
revenant_(darkness)_(elden_ring),revenant_(elden_ring),1,Elden Ring,3
lancelot_(fate/grand_order),lancelot_(fate/grand_order),0,Fate,771
fionn_mac_cumhaill_(fate/grand_order),fionn_mac_cumhaill_(fate/grand_order),0,Fate,162
lancelot_(first_ascension)_(fate/grand_order),lancelot_(fate/grand_order),1,Fate,103
lancelot_(third_ascension)_(fate/grand_order),lancelot_(fate/grand_order),1,Fate,94
fionn_mac_cumhaill_(fgo_fes._2025)_(fate/grand_order),fionn_mac_cumhaill_(fate/grand_order),1,Fate,0
artoria_pendragon_(fate),artoria_pendragon_(fate),0,Fate,45067
saber_(fate),saber_(fate),0,Fate,20778
jeanne_d'arc_alter_(fate),jeanne_d'arc_alter_(fate),0,Fate,13451
abigail_williams_(fate),abigail_williams_(fate),0,Fate,12571
nero_claudius_(fate),nero_claudius_(fate),0,Fate,11170
scathach_(fate),scathach_(fate),0,Fate,9371
tamamo_no_mae_(fate),tamamo_no_mae_(fate),0,Fate,9005
jeanne_d'arc_(fate),jeanne_d'arc_(fate),0,Fate,8593
gilgamesh_(fate),gilgamesh_(fate),0,Fate,8148
okita_souji_(fate),okita_souji_(fate),0,Fate,7848
shuten_douji_(fate),shuten_douji_(fate),0,Fate,7606
astolfo_(fate),astolfo_(fate),0,Fate,7516
baobhan_sith_(fate),baobhan_sith_(fate),0,Fate,7002
archer_(fate),archer_(fate),0,Fate,6956
cu_chulainn_(fate),cu_chulainn_(fate),0,Fate,6910
mordred_(fate),mordred_(fate),0,Fate,6499
minamoto_no_raikou_(fate),minamoto_no_raikou_(fate),0,Fate,6426
bb_(fate),bb_(fate),0,Fate,6423
morgan_le_fay_(fate),morgan_le_fay_(fate),0,Fate,5889
medusa_(fate),medusa_(fate),0,Fate,5751
artoria_pendragon_(lancer)_(fate),artoria_pendragon_(fate),1,Fate,5624
ereshkigal_(fate),ereshkigal_(fate),0,Fate,5466
ishtar_(fate),ishtar_(fate),0,Fate,5185
meltryllis_(fate),meltryllis_(fate),0,Fate,5150
miyamoto_musashi_(fate),miyamoto_musashi_(fate),0,Fate,5016
medusa_(rider)_(fate),medusa_(fate),1,Fate,4427
artoria_caster_(fate),artoria_caster_(fate),0,Fate,4381
cu_chulainn_(lancer)_(fate),cu_chulainn_(fate),1,Fate,4242
kama_(fate),kama_(fate),0,Fate,4200
oda_nobunaga_(fate),oda_nobunaga_(fate),0,Fate,3969
florence_nightingale_(fate),florence_nightingale_(fate),0,Fate,3862
abigail_williams_(first_ascension)_(fate),abigail_williams_(fate),1,Fate,3661
jeanne_d'arc_alter_(avenger)_(fate),jeanne_d'arc_alter_(fate),1,Fate,3510
elizabeth_bathory_(fate),elizabeth_bathory_(fate),0,Fate,3426
nitocris_(fate),nitocris_(fate),0,Fate,3408
iskandar_(fate),iskandar_(fate),0,Fate,3388
oberon_(fate),oberon_(fate),0,Fate,3385
melusine_(fate),melusine_(fate),0,Fate,3267
jeanne_d'arc_(ruler)_(fate),jeanne_d'arc_(fate),1,Fate,3207
kiyohime_(fate),kiyohime_(fate),0,Fate,3140
tomoe_gozen_(fate),tomoe_gozen_(fate),0,Fate,3026
katsushika_hokusai_(fate),katsushika_hokusai_(fate),0,Fate,2884
jeanne_d'arc_alter_(swimsuit_berserker)_(fate),jeanne_d'arc_alter_(fate),1,Fate,2759
tamamo_cat_(fate),tamamo_cat_(fate),0,Fate,2741
barghest_(fate),barghest_(fate),0,Fate,2722
fou_(fate),fou_(fate),0,Fate,2688
ibaraki_douji_(fate),ibaraki_douji_(fate),0,Fate,2535
diarmuid_ua_duibhne_(fate),diarmuid_ua_duibhne_(fate),0,Fate,2527
leonardo_da_vinci_(fate),leonardo_da_vinci_(fate),0,Fate,2518
koyanskaya_(fate),koyanskaya_(fate),0,Fate,2510
meltryllis_(swimsuit_lancer)_(fate),meltryllis_(fate),1,Fate,2484
anastasia_(fate),anastasia_(fate),0,Fate,2471
diarmuid_ua_duibhne_(lancer)_(fate),diarmuid_ua_duibhne_(fate),1,Fate,2454
yu_mei-ren_(fate),yu_mei-ren_(fate),0,Fate,2418
napoleon_bonaparte_(fate),napoleon_bonaparte_(fate),0,Fate,2372
ushiwakamaru_(fate),ushiwakamaru_(fate),0,Fate,2372
